date,Dallas/Ft. Worth
2020-04-12,369
2020-04-13,365
2020-04-14,373
2020-04-15,449
2020-04-16,470
2020-04-17,476
2020-04-18,428
2020-04-19,435
2020-04-20,410
2020-04-21,443
2020-04-22,477
2020-04-23,517
2020-04-24,550
2020-04-25,521
2020-04-26,472
2020-04-27,491
2020-04-28,583
2020-04-29,611
2020-04-30,576
2020-05-01,636
2020-05-02,635
2020-05-03,530
2020-05-04,513
2020-05-05,674
2020-05-06,679
2020-05-07,669
2020-05-08,676
2020-05-09,650
2020-05-10,569
2020-05-11,530
2020-05-12,678
2020-05-13,627
2020-05-14,666
2020-05-15,680
2020-05-16,685
2020-05-17,551
2020-05-18,553
2020-05-19,646
2020-05-20,646
2020-05-21,600
2020-05-22,570
2020-05-23,612
2020-05-24,548
2020-05-25,521
2020-05-26,533
2020-05-27,589
2020-05-28,613
2020-05-29,581
2020-05-30,624
2020-05-31,595
2020-06-01,580
2020-06-02,582
2020-06-03,575
2020-06-04,604
2020-06-05,602
2020-06-06,605
2020-06-07,605
2020-06-08,612
2020-06-09,660
2020-06-10,687
2020-06-11,705
2020-06-12,712
2020-06-13,729
2020-06-14,728
2020-06-15,701
2020-06-16,765
2020-06-17,859
2020-06-18,899
2020-06-19,914
2020-06-20,939
2020-06-21,952
2020-06-22,988
2020-06-23,1074
2020-06-24,1130
2020-06-25,1137
2020-06-26,1180
2020-06-27,1248
2020-06-28,1261
2020-06-29,1288
2020-06-30,1375
2020-07-01,1411
2020-07-02,1499
2020-07-03,1534
2020-07-04,1531
2020-07-05,1562
2020-07-06,1607
2020-07-07,1704
2020-07-08,1809
2020-07-09,1826
2020-07-10,1872
2020-07-11,1825
2020-07-12,1895
2020-07-13,1867
2020-07-14,1834
2020-07-15,1854
2020-07-16,1880
2020-07-17,1918
2020-07-18,1889
2020-07-19,1901
2020-07-20,1910
2020-07-21,1907
2020-07-22,1965
2020-07-23,1810
2020-07-24,1925
2020-07-25,1716
2020-07-26,1701
2020-07-27,1634
2020-07-28,1642
2020-07-29,1723
2020-07-30,1648
2020-07-31,1582
2020-08-01,1558
2020-08-02,1523
2020-08-03,1576
2020-08-04,1544
2020-08-05,1497
2020-08-06,1443
2020-08-07,1397
2020-08-08,1337
2020-08-09,1322
2020-08-10,1282
2020-08-11,1235
2020-08-12,1229
2020-08-13,1200
2020-08-14,1218
2020-08-15,1218
2020-08-16,1155
2020-08-17,1146
2020-08-18,1133
2020-08-19,1075
2020-08-20,1055
2020-08-21,1039
2020-08-22,1011
2020-08-23,969
2020-08-24,963
2020-08-25,925
2020-08-26,931
2020-08-27,910
2020-08-28,880
2020-08-29,883
2020-08-30,851
2020-08-31,831
2020-09-01,845
2020-09-02,828
2020-09-03,801
2020-09-04,778
2020-09-05,893
2020-09-06,761
2020-09-07,677
2020-09-08,798
2020-09-09,771
2020-09-10,780
2020-09-11,750
2020-09-12,741
2020-09-13,762
2020-09-14,776
2020-09-15,742
2020-09-16,732
